schema	pid-rs-formal-rendering-receipt-v2
pdf_sha256	fcc76285b586aac0017c02e63b5c3abe127980d523f92ecdad261ef761b4c80c
pages	64
dpi	120
mode	page	width	height	bytes	sha256	min_luma	max_luma	dark_pixels	chromatic_pixels
color	41	993	1404	321209	abd897f8bdd3fdad91d8ad7113aaf6312139159a76685699da82f52c73bf37b2	57	255	113301	1388615
color	42	993	1404	343372	103fd24fe5ca6771f5fbcb4f693ea53d6a47ea2d699f5ddf06f6d18f3dfbd404	58	255	120824	1388303
color	43	993	1404	198573	b1522cff16c116bd8f249a29c2066943376de490668ebab9c2e2dd45f8951694	57	255	85035	1337280
color	44	993	1404	270416	702c44a45d7414b5250f7a67a8023942d2100d2ec2d595dbbd1167cf8bc55cc2	57	255	125676	1252884
color	45	993	1404	338374	fee5c633e015ae88afcf9637c63d7992464cde90f98cd38bf76ade1c763cd343	58	255	134559	1176874
color	46	993	1404	196664	1f8147638453684df76e5a9a5e59644faca5e6bbe48aef0c1afe687fde81c10a	57	255	85838	1313548
color	47	993	1404	263859	8733405af8fadb122643c21cc4d2834f9a471d0cdb79cc47f46bf520b9d830ac	57	255	111180	1316472
color	48	993	1404	305164	c42ab1161eaa30473c20ef955c5bdb50814efca2bc2a801d6a0fcf8005351062	57	255	124656	1280363
color	49	993	1404	313133	662b3e17de45cc6c3a4cecdafb9b8262af1863998533b4b585cf462c7a9e0ec5	58	255	137630	1068517
color	50	993	1404	442707	7c1e84e6b85d5ec14e7aa52da27ddfe3592d48c80a912bbaf6234b400300ea32	58	255	158738	1386333
color	51	993	1404	403820	7659f3b693af77d5db4d25ad52149f7dbf0f9d5420574b659e89f15c32412ffb	58	255	140105	1387999
color	52	993	1404	371897	0d818d257996ce6f08055095ba0a9d26cbaef617a3d6406443e1f4c2875254db	58	255	129459	1388141
color	53	993	1404	338945	bff9758ea2bb5048779184f33c08cf8de4281ccd80d0870857d13cfcc0288ded	57	255	124466	1388360
color	54	993	1404	272851	1fc193cc2c16af486cc3a5c44684e793ae6384a5293120f0c83e2c1c986d868b	58	255	112951	1279837
color	55	993	1404	281703	fa4c4674b5e0d97e6a3c357335fffb8d04ec32e4c85231387486f5d4fca29727	57	255	129669	1137232
color	56	993	1404	289662	6915ec46a97a43cba206a2fad8879433dc0bb6376a324a2f7acfc0be87443264	57	255	119821	1360439
color	57	993	1404	410877	f2a1826a6e2fae850a42889d4173f2455a907b6b011ccfa4ebbf7d7d7dc3b172	57	255	142712	1387335
color	58	993	1404	391580	652cddfe074525b807babec2d560dea0de795ae9a3f3e9b98760848c0da40ef7	57	255	139163	1387407
color	59	993	1404	256892	c33dac788201bc494f4f651e47f6d31ad72907ad97df6bf7bf612929eff7d884	57	255	89429	1389174
color	60	993	1404	368643	253a2ddcbfbccd5ce90899eeaf1772b07b076fdf0018426577f7f2ae2776443b	58	255	134261	1387709
color	61	993	1404	341308	2f240a794820d7e30432ddfd98a94ddeccaad13fa00a07b22ffcda3d8a454bde	57	255	136859	1276590
color	62	993	1404	219543	3e5a53fdafbcf0cf4b17548fd723d074a7b8ba8c4c15e500f29fc7d00a0160a5	58	255	76176	1389899
color	63	993	1404	242856	b8bd587fbf2f33c99ceb19b9dc08aa0c65140aad1f7a949e28c00acf2e3e4027	58	255	111034	1263761
color	64	993	1404	198882	05f9f3f726566b838673c816a4a141078bb7491a342296071d10bce480efc5a9	58	255	70920	1390003
gray	1	993	1404	219802	4ab00bc938be079343cede5ffd642a444cc4131b9d91e8327599fe159035f039	57	255	110209	0
gray	2	993	1404	284006	9258954eb072a2b368cc3a840f8c749c0b8f405c094639f69a14975412df119d	57	255	92981	0
gray	3	993	1404	225551	176cbecaad733323207d625bd5ffe04e1dd2ac3a7b290a19ad20983365616e98	57	255	125419	0
gray	4	993	1404	278717	1be2a07a9ba1352d0a5ffc18f384c0a22b7313ecdddf0d3a605f891153a753f4	57	255	125267	0
gray	5	993	1404	286498	5f51ef5b9ad43e66901d229983f4dcc45af3dfbe1f217a7b5553c7607ded5c9b	59	255	108845	0
gray	6	993	1404	266139	eaf066aa70f4d369fb982fbdb410e38c5127b2a0d867afc8daa5e8316db99354	59	255	102021	0
gray	7	993	1404	237578	6dacf924778f5e112fd07d7c8f50f4e97e29f7b762d28f469fdcc775b84a03d0	57	255	102479	0
gray	8	993	1404	272132	292670421afd2f398a21a3f3ea19f1fa287b9feccbd238b1cbe0bc36ce40579f	59	255	126649	0
gray	9	993	1404	221936	9f1a925952dd264180f64c29acb3f47865dbb8c7962aee37d563bbae5827adbf	57	255	101821	0
gray	10	993	1404	259101	7f136ac702c930f89c74c9e0d172c10f6271455b7d234df914ed978a7a6332b7	57	255	125259	0
gray	11	993	1404	334648	528118265fa590490c223d2a3ea971c407d1452f0cd8934423b8d35c410619fb	57	255	125949	0
gray	12	993	1404	428182	b830e322dd478488f9dd9acd575329a2180a0b67b2e5ccc3da32cc471d6db80f	59	255	157466	0
gray	13	993	1404	353130	0b3bdb33ad9be85e7230ae790f7ec85c7bff529122aa4ae72ab3fcbe1cc5cd6e	59	255	130556	0
gray	14	993	1404	287627	0e02df1a028b8867eb8979b957a6173528c2c857208d755af7d889de125e34a9	57	255	127401	0
gray	15	993	1404	201943	8e3d0b7b687bfc4691d946d75d2e56498e44d35a13f083892e70de8cc9997c77	57	255	73580	0
gray	16	993	1404	315943	eaeec6cfadf11a7507032a3ab818ff2c5d542b8182ed4fb5ce061e71d792f710	57	255	114455	0
gray	17	993	1404	352879	cbe860dc564d2bdd28e8bd1437eb6f8f5b66939c9bcf7ec6c4ed93a3e87df33f	57	255	131434	0
