schema	pid-rs-formal-rendering-receipt-v2
pdf_sha256	17d0fe7473f1f74f431af02d68f8a1c70e6e03a23648e2aaea056fb086950360
pages	4
dpi	120
mode	page	width	height	bytes	sha256	min_luma	max_luma	dark_pixels	chromatic_pixels
color	1	993	1404	196860	14ce6246d59e1ec2c96b8f342db107c3cc30c20c1f6155a97c30a9a4c6b97c9a	0	255	93249	119368
color	2	993	1404	281571	3bfdb22bad5c7b332abfe7b682e989831d8616c6e2a4dcd04ac84647139a9019	0	255	134999	216270
color	3	993	1404	264508	876019ac413172f01b944ee537c88d48679891250e5d6bf9ceb6800e4fce5e35	0	255	184215	327374
color	4	993	1404	291403	7dc5d7b08c2f2e9f3c5d191cd5aca14312cc935d75987f21fe8f07f7a54eb644	0	255	110058	9392
gray	1	993	1404	193467	34f6578964dbe02125c4a7e69a3a1f3e2aae5d6da3c77c1f2281cb1fc651cb7a	0	255	93220	0
gray	2	993	1404	277206	044f0805d4eb34668685a9f29f455e91fd70f5ab4a8c88c291ab9aef5ca0a004	0	255	134993	0
gray	3	993	1404	257061	39996245df4445b2d5a043714da570f8c347a869320341c35a8fb0b7fdebf10f	0	255	184062	0
gray	4	993	1404	289981	fffd5b4107df7c8aea8a04ce8501e3a3187d6dad0912fd900008a962499d3ff0	0	255	110052	0
