schema	pid-rs-formal-rendering-receipt-v2
pdf_sha256	bd38024b800d1368b6a6490982c138e714cb96b75dbf6d0ec4ab52eedf6f8718
pages	4
dpi	120
mode	page	width	height	bytes	sha256	min_luma	max_luma	dark_pixels	chromatic_pixels
color	1	993	1404	217547	fde7134a9291c0b348d9311c188330d81d8d63b3d26eddc64f6c333195f57924	0	255	101092	118623
color	2	993	1404	264022	acf30016914821ae11f39ed41ea4672f406d6eb1d6352d2b179375ca35eb495d	0	255	111980	62663
color	3	993	1404	313637	b6c2a439f7cbab154d82ad25e9c57ac0ad6f7c9074d073ed80697e4b79337f38	0	255	202824	325893
color	4	993	1404	262024	9750e3d7f8ac9187c852934e743fe818798d156581df669debd2b183a0c77f14	0	255	113961	146162
gray	1	993	1404	214286	b2acfbbe6cc6179c97f09989b2386912aca4d288bcbd9123f8f17dbbe2ebe265	0	255	101049	0
gray	2	993	1404	262890	c22a62601981c3d1a8c7080fe719be438ef580fe621b61f51273d247e870931f	0	255	111975	0
gray	3	993	1404	306689	9d4883494829da3286e72cc9382e7c72ae4de2b1c011bdcc2c4b93987e46c6a2	0	255	202680	0
gray	4	993	1404	259340	46ae8baaf3f318871cc9c6420826c3b05b007abf19818f97bc657acd8e5b5dab	0	255	113956	0
